Time (s),RF (V),DC (V),current (V)
7799.41174507,1.4134,1.3024,0.000416861845
7799.59930611,1.4134,1.303,0.000413880206
7799.79840517,1.4134,1.3036,0.000404452004
7799.99995017,1.4134,1.3042,0.000401306968
7800.19858098,1.4134,1.3048,0.000404224113
7800.39865303,1.4134,1.3054,0.000401417847
7800.59945107,1.4134,1.306,0.000401446119
7800.80194616,1.4134,1.3066,0.000396443273
7801.00256896,1.4134,1.3072,0.000399661139
7801.19895506,1.4134,1.3078,0.000399051166
7801.40090203,1.4134,1.3084,0.000394916181
7801.60257006,1.4134,1.309,0.000397535764
7801.801512,1.4134,1.3096,0.000400152282
7802.00053501,1.4134,1.3102,0.000396318691
7802.19890118,1.4134,1.3108,0.000396304795
7802.40368199,1.4134,1.3114,0.000398129542
7802.60020304,1.4134,1.312,0.000397876353
7802.79389501,1.4134,1.3126,0.000395632241
7803.00591016,1.4134,1.3132,0.000399194436
7803.20247316,1.4134,1.3138,0.000398891795
7803.40415215,1.4134,1.3144,0.00039700744
7803.60434699,1.4134,1.315,0.000395706225
7803.80071402,1.4134,1.3156,0.00040006057
7804.00475001,1.4134,1.3162,0.000400305422
7804.2055831,1.4134,1.3168,0.000396643085
7804.40695119,1.4134,1.3174,0.000398051439
7804.60064912,1.4134,1.318,0.000400225786
7804.80465102,1.4134,1.3186,0.000395050633
7805.00581717,1.4134,1.3192,0.00039634169
7805.20546103,1.4134,1.3198,0.000398026427
7805.40440917,1.4134,1.3204,0.00039866841
7805.60103512,1.4134,1.321,0.000396671643
7805.80501318,1.4134,1.3216,0.0003983536
7806.00666809,1.4134,1.3222,0.00039782125
7806.2056551,1.4134,1.3228,0.000393289326
7806.40636206,1.4134,1.3234,0.000394646317
7806.60379314,1.4134,1.324,0.000396813093
7806.80527711,1.4134,1.3246,0.000397476636
7807.00690913,1.4134,1.3252,0.000398612827
7807.20618916,1.4134,1.3258,0.000399100998
7807.40766811,1.4134,1.3264,0.000400726799
7807.60137606,1.4134,1.327,0.000396194396
7807.80842113,1.4134,1.3276,0.000397481908
7808.00767112,1.4134,1.3282,0.000395546568
7808.20874596,1.4134,1.3288,0.000397207538
7808.40513611,1.4134,1.3294,0.000398734344
7808.60670114,1.4134,1.33,0.000396552906
7808.80579615,1.4134,1.3306,0.000398610815
7809.01000404,1.4134,1.3312,0.000397375534
7809.20832396,1.4134,1.3318,0.000398999129
7809.40797019,1.4134,1.3324,0.000397042322
