Time (s),Vsep-dc (div 10) (V),Vsep-rf (div 10) (V),DC Current (1 V = 1 nA) (V),AC current (A) (V),AC Voltage (V) (V)
212.63930583,6.75,12.1033333333,9.28317996e-05,0.0,0.0
213.719103813,6.75,12.1266666667,0.000131058589,0.0,0.0
214.841585875,6.75,12.15,0.000120809343,0.0,0.0
215.928952932,6.75,12.1733333333,0.000131507523,0.0,0.0
217.050302982,6.75,12.1966666667,0.000126186596,0.0,0.0
218.129987955,6.75,12.22,0.000118033788,0.0,0.0
219.249909878,6.75,12.2433333333,0.000121242382,0.0,0.0
220.329997778,6.75,12.2666666667,0.000143871478,0.0,0.0
221.448712826,6.75,12.29,0.00015569774,0.0,0.0
222.531378984,6.75,12.3133333333,0.000134041109,0.0,0.0
223.653632879,6.75,12.3366666667,0.000151530426,0.0,0.0
224.732091904,6.75,12.36,0.000156352773,0.0,0.0
225.852977991,6.75,12.3833333333,0.000154169084,0.0,0.0
226.938566923,6.75,12.4066666667,0.000140250045,0.0,0.0
228.057057858,6.75,12.43,0.000127395667,0.0,0.0
229.138586998,6.75,12.4533333333,0.000126961762,0.0,0.0
230.217788935,6.75,12.4766666667,0.000111265868,0.0,0.0
231.305051804,6.75,12.5,0.000131059455,0.0,0.0
258.363940001,6.76441176471,7.6,0.000150648004,0.0,0.0
259.482787848,6.76441176471,7.62333333333,0.000136264552,0.0,0.0
260.561769962,6.76441176471,7.64666666667,0.000135953574,0.0,0.0
261.68057394,6.76441176471,7.67,0.000136877036,0.0,0.0
262.762062788,6.76441176471,7.69333333333,0.000153056287,0.0,0.0
263.882635832,6.76441176471,7.71666666667,8.09625708e-05,0.0,0.0
264.955195904,6.76441176471,7.74,0.00014897709,0.0,0.0
266.072593927,6.76441176471,7.76333333333,0.000181427338,0.0,0.0
267.158954859,6.76441176471,7.78666666667,0.000136391782,0.0,0.0
268.278862953,6.76441176471,7.81,0.000147584688,0.0,0.0
269.359800816,6.76441176471,7.83333333333,0.000162968767,0.0,0.0
270.478451967,6.76441176471,7.85666666667,0.000159762744,0.0,0.0
271.555047989,6.76441176471,7.88,0.000148065863,0.0,0.0
272.671769857,6.76441176471,7.90333333333,0.000148873495,0.0,0.0
273.757705927,6.76441176471,7.92666666667,0.000163054508,0.0,0.0
274.877769947,6.76441176471,7.95,0.000163326149,0.0,0.0
275.958781004,6.76441176471,7.97333333333,0.000162508434,0.0,0.0
277.082431793,6.76441176471,7.99666666667,0.000196305934,0.0,0.0
278.161186934,6.76441176471,8.02,0.000114305549,0.0,0.0
279.254505873,6.76441176471,8.04333333333,0.000152258546,0.0,0.0
280.335636854,6.76441176471,8.06666666667,0.000142270633,0.0,0.0
281.45705986,6.76441176471,8.09,0.000125715086,0.0,0.0
282.536342859,6.76441176471,8.11333333333,0.0001361081,0.0,0.0
283.661695004,6.76441176471,8.13666666667,8.99575951e-05,0.0,0.0
284.741863966,6.76441176471,8.16,0.00010753718,0.0,0.0
285.859918833,6.76441176471,8.18333333333,7.88315159e-05,0.0,0.0
286.938566923,6.76441176471,8.20666666667,8.50108119e-05,0.0,0.0
288.063121796,6.76441176471,8.23,7.76957257e-05,0.0,0.0
289.142625809,6.76441176471,8.25333333333,8.31952625e-05,0.0,0.0
290.265714884,6.76441176471,8.27666666667,7.43530302e-05,0.0,0.0
291.352271795,6.76441176471,8.3,0.000160167426,0.0,0.0
292.468706846,6.76441176471,8.32333333333,0.000123693214,0.0,0.0
293.54734993,6.76441176471,8.34666666667,9.95928475e-05,0.0,0.0
294.668774843,6.76441176471,8.37,0.000118837984,0.0,0.0
295.747819901,6.76441176471,8.39333333333,0.000109764284,0.0,0.0
296.874239922,6.76441176471,8.41666666667,0.000102723214,0.0,0.0
297.953920841,6.76441176471,8.44,0.000104017191,0.0,0.0
299.074516773,6.76441176471,8.46333333333,9.17826171e-05,0.0,0.0
